Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
1,Rogers Park,7.9,22.7,7.5,18.1,28.8,$23714.00,39
2,West Ridge,7,15.1,7.9,19.6,38.3,$21375.00,46
3,Uptown,4.6,22.7,7.7,13.6,22.2,$32355.00,23
4,Lincoln Square,3.1,9.5,6.8,12.5,25.6,$35503.00,16
5,North Center,0.2,7.1,4.5,5.4,25.5,$51615.00,7
6,Lake View,1.2,10.5,4.7,2.9,16.5,$58227.00,5
7,Lincoln Park,0.6,11.8,4.5,4.3,20.4,$71403.00,3
8,Near North Side,2,13.4,5.2,3.4,23.3,$87163.00,1
9,Edison Park,0.6,5.1,7.4,8.5,36.6,$38337.00,12
10,Norwood Park,2.3,5.9,7.3,13.5,40.6,$31659.00,21
11,Jefferson Park,1.9,6.4,9,13.5,34.4,$27280.00,24
12,Forest Glen,1.3,6.1,5.5,6.3,40.6,$41509.00,10
13,North Park,3.8,12.4,7.5,18.2,39.7,$24941.00,37
14,Albany Park,11.2,17.1,9,34.9,32.1,$20355.00,56
15,Portage Park,4.4,12.3,10.6,18.7,34.6,$23617.00,38
16,Irving Park,5.6,10.8,10.3,22,31.6,$26713.00,30
17,Dunning,4.8,8.3,8.6,18,34.9,$26347.00,28
18,Montclaire,5.8,12.8,10.8,28.4,35,$21257.00,48
19,Belmont Cragin,10,18.6,11.5,37,36.9,$15246.00,73
20,Hermosa,8.4,19.1,12.9,41.9,36.3,$15411.00,75
21,Avondale,5.8,14.6,9.3,25.7,30.4,$20489.00,44
22,Logan Square,3.2,17.2,7.5,18.5,26.7,$29026.00,26
23,Humboldt park,11.2,32.6,12.3,36.8,38.3,$13391.00,83
24,West Town,2,15.7,6,13.4,22.9,$39596.00,14
25,Austin,5.7,27,21,25,39,$15920.00,74
26,West Garfield Park,8.9,40.3,25.2,26.2,42.5,$10951.00,92
27,East Garfield Park,7.5,39.7,16.4,26.2,43.2,$13596.00,84
28,Near West Side,3.8,21.6,10.7,11.2,22.9,$41488.00,19
