Community Area,Community Area Name,PREDOMINANT NON-ENGLISH LANGUAGE (%),AFRICAN LANGUAGES,ARABIC,ARMENIAN,CAMBODIAN (MON-KHMER),CHINESE,CREOLE,FRENCH,GERMAN,GREEK,GUJARATI,HEBREW,HINDI,HMONG,HUNGARIAN,ITALIAN,JAPANESE,KOREAN,LAOTIAN,NAVAJO,OTHER ASIAN,OTHER INDIC,OTHER INDO EURPOEAN,OTHER NATIVE NORTH AMERICAN,OTHER PACIFIC ISLAND,OTHER SLAVIC,OTHER WEST GERMANIC,PERSIAN,POLISH,PORTUGUESE,RUSSIAN,SCANDINAVIAN,SERBO-CROATIAN,SPANISH,TAGALOG,THAI,UNSPECIFIED,URDU,VIETNAMESE,YIDDISH
1,Rogers Park,SPANISH (10.2%),374,141,30,20,347,223,178,10,8,0,0,6,0,0,15,28,81,0,0,62,57,247,0,0,166,0,24,171,15,429,0,77,5203,175,0,12,105,23,9
2,West Ridge,SPANISH (9.1%),338,1340,0,0,929,83,92,20,320,601,110,590,0,53,3,14,360,10,0,243,395,683,0,49,317,0,72,122,0,624,0,795,6009,700,66,800,1202,896,97
3,Uptown,SPANISH (7.8%),719,59,0,16,679,0,139,0,62,0,0,120,0,0,12,14,313,0,0,158,51,272,0,15,26,0,14,171,0,970,0,222,4194,281,35,0,385,842,0
4,Lincoln Square,SPANISH (7.6%),112,141,29,0,126,13,47,45,518,62,6,120,0,19,11,58,331,49,8,38,18,349,0,0,179,0,0,52,14,81,0,343,2726,156,16,167,288,211,0
5,North Center,SPANISH (3.9%),0,0,0,0,20,0,31,256,0,0,35,0,0,13,0,46,68,0,0,0,0,0,0,0,0,0,0,71,11,11,0,46,1172,84,0,14,0,9,0
6,Lake View,SPANISH (2.2%),264,104,0,0,240,8,112,148,15,11,0,0,0,8,37,36,139,0,0,0,45,103,16,0,13,0,0,150,7,377,0,44,2064,130,187,0,89,53,0
7,Lincoln Park,SPANISH (1.1%),31,15,0,0,130,0,166,32,89,16,0,67,0,0,31,126,75,0,0,54,0,86,0,0,24,0,11,33,28,67,0,133,660,55,0,0,0,17,0
8,Near North Side,SPANISH (1%),39,43,0,0,367,0,131,85,0,0,11,94,0,24,90,295,220,0,0,18,11,133,0,16,56,13,57,77,49,453,0,118,742,45,13,14,7,63,0
9,Edison Park,POLISH (1.6%),0,0,0,0,0,0,18,21,8,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,25,0,0,174,0,0,0,33,59,13,0,0,0,0,0
10,Norwood Park,POLISH (6.9%),0,59,78,34,60,0,0,76,159,0,0,67,0,0,169,8,90,25,0,52,0,126,0,0,54,0,0,2411,0,14,0,190,1028,113,0,17,0,71,0
